ST,OCCPSTEM,RAC1P,SEX,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
Nevada,Non-STEM,Native American or Hawaiian,Male,0.5549896909470121,0.8421052631578947,24890.63655030801,1622,1.0716239266046323,NV,0
Nevada,Non-STEM,White,Female,-0.03497687132576012,0.8898128898128899,20742.197125256676,55174,1.0117866643734865,NV,0
Nevada,Non-STEM,White,Male,0.10839551872735906,0.8223552894211577,24890.63655030801,58270,0.9847640141159605,NV,0
Nevada,Not working,Asian,Male,,1.0,0.0,119,1.5291871029511217,NV,1
Nevada,Not working,Black or African American,Male,,0.0,0.0,204,1.8503383625177023,NV,1
Nevada,Not working,Multi-racial and Other,Female,,0.75,0.0,477,2.5267488686204054,NV,1
Nevada,Not working,Multi-racial and Other,Male,,0.6666666666666666,0.0,348,1.7646210060409488,NV,1
Nevada,Not working,Native American or Hawaiian,Male,,0.0,0.0,36,2.565567073921604,NV,1
Nevada,Not working,White,Female,,1.0,0.0,388,0.7674949502619314,NV,1
Nevada,Not working,White,Male,,0.6666666666666666,0.0,250,0.4557393002780928,NV,1
Nevada,STEM,Asian,Female,-0.33717613030326204,1.0,36298.84496919918,173,0.5731267434853955,NV,0
Nevada,STEM,Asian,Male,-0.42937835459483475,0.75,37335.95482546202,769,2.2799548124462437,NV,0
Nevada,STEM,Black or African American,Female,-0.8076159057382057,0.5,14571.393480492814,196,0.4707733210459111,NV,0
Nevada,STEM,Black or African American,Male,-0.16694645841342642,0.8,34224.62525667351,1035,2.165945726402064,NV,0
Nevada,STEM,Multi-racial and Other,Female,-0.2830123854415116,1.0,46669.94353182752,469,0.5731955079180538,NV,0
Nevada,STEM,Multi-racial and Other,Male,0.03836881942084776,0.75,38891.619609856265,302,0.3533176867863382,NV,0
Nevada,STEM,White,Female,0.18349736632653746,0.8888888888888888,38373.06468172485,625,0.28523975390980216,NV,0
Nevada,STEM,White,Male,-0.15733546374666912,0.9444444444444444,36298.84496919918,4328,1.8203292987725634,NV,0
Nevada,STEM-related,Asian,Female,0.0017431828141156983,1.0,45010.56776180699,1037,3.003734456906223,NV,0
Nevada,STEM-related,Asian,Male,-0.1437121687435461,1.0,51855.49281314168,937,2.4289451053375086,NV,0
Nevada,STEM-related,Black or African American,Female,0.49072846924632474,0.5,85561.56314168379,317,0.6657225118326225,NV,0
Nevada,STEM-related,Black or African American,Male,-0.44262556363348754,1.0,20742.197125256676,109,0.19943984466954678,NV,0
Nevada,STEM-related,Multi-racial and Other,Female,-0.2939812114661568,0.6666666666666666,31113.295687885016,1116,1.1925383090514041,NV,0
Nevada,STEM-related,White,Female,-0.3081681496393107,0.9743589743589743,39410.17453798768,3547,1.4153681984076854,NV,0
Nevada,STEM-related,White,Male,-0.1708725661372698,1.0,33187.51540041067,1969,0.724080134213934,NV,0
New Hampshire,Non-STEM,Asian,Female,-0.7963386962502718,0.6666666666666666,16883.174647887325,1011,0.7817210021232777,NH,0
New Hampshire,Non-STEM,Asian,Male,-0.6098511496541822,0.75,19444.10563380282,683,0.8368537656197231,NH,0
New Hampshire,Non-STEM,Black or African American,Female,-0.597798830004115,0.75,13753.147887323947,814,1.1799270516717326,NH,0
New Hampshire,Non-STEM,Black or African American,Male,0.15590219210561565,1.0,36042.732394366205,416,0.8876123933009777,NH,0
New Hampshire,Non-STEM,Multi-racial and Other,Female,0.4157826675837656,0.7272727272727273,21815.33802816902,1273,1.02041245705035,NH,0
New Hampshire,Non-STEM,Multi-racial and Other,Male,-0.18718000206872484,0.9333333333333333,14986.188732394368,1796,1.1417828581909655,NH,0
New Hampshire,Non-STEM,Native American or Hawaiian,Female,0.3161933073414514,0.0,25609.30985915493,320,1.1799270516717326,NH,0
New Hampshire,Non-STEM,White,Female,-0.09740343346204175,0.9148936170212766,21815.33802816902,34885,0.9964114063802565,NH,0
New Hampshire,Non-STEM,White,Male,0.11599503126486481,0.8619528619528619,28454.78873239437,41052,1.0042161361092146,NH,0
New Hampshire,Not working,White,Male,,1.0,0.0,151,2.0120037317300716,NH,1
New Hampshire,STEM,Asian,Female,-0.6949828546696185,1.0,9864.326760563385,446,3.0486087242173214,NH,0
New Hampshire,STEM,Asian,Male,-1.0515751522404,1.0,185904.61971830987,69,0.7473846374319288,NH,0
New Hampshire,STEM,Multi-racial and Other,Male,1.0105793295569814,1.0,42682.18309859155,60,0.33720549374388475,NH,0
New Hampshire,STEM,White,Female,0.01872295340322608,1.0,40785.197183098586,2917,0.7365506161807843,NH,0
New Hampshire,STEM,White,Male,0.1137327028164343,0.9767441860465116,51218.61971830986,5812,1.2568535779036087,NH,0
New Hampshire,STEM-related,Asian,Female,-1.3316642921151747,1.0,47424.64788732395,69,0.8211437135558505,NH,0
New Hampshire,STEM-related,Asian,Male,0.47018605404518354,1.0,47424.64788732395,211,3.9790627079174983,NH,0
New Hampshire,STEM-related,Black or African American,Male,5.464236474345367,1.0,50270.12676056338,137,4.499042037985512,NH,0
New Hampshire,STEM-related,Multi-racial and Other,Female,0.738225420060219,1.0,31584.81549295775,199,2.4551039310645013,NH,0
New Hampshire,STEM-related,White,Female,-0.08009316943745615,0.967741935483871,33861.1985915493,3508,1.5421584753514033,NH,0
New Hampshire,STEM-related,White,Male,-0.35930067842236907,1.0,46476.15492957747,1220,0.4593271992347843,NH,0
New Jersey,Non-STEM,Asian,Female,0.12719897171728817,0.9555555555555556,14499.06400862069,17308,0.8067783487820123,NJ,0
New Jersey,Non-STEM,Asian,Male,0.030144236274467197,0.9013157894736842,21117.255387931036,15467,0.6812711677597455,NJ,0
New Jersey,Non-STEM,Black or African American,Female,-0.04827057060288482,0.9098712446351931,16980.885775862072,38189,1.039554028480213,NJ,0
New Jersey,Non-STEM,Black or African American,Male,0.013472918148316899,0.780327868852459,13062.219827586208,45047,1.067446996885666,NJ,0
New Jersey,Non-STEM,Multi-racial and Other,Female,-0.1230642717155488,0.8472906403940886,18809.596551724142,26555,0.9485587014897852,NJ,0
New Jersey,Non-STEM,Multi-racial and Other,Male,0.049945036433281895,0.6635071090047393,19941.655603448282,29966,1.0427368549683995,NJ,0
New Jersey,Non-STEM,Native American or Hawaiian,Female,-0.12123645730942059,0.8,14716.767672413796,473,1.1439272074625513,NJ,0
New Jersey,Non-STEM,Native American or Hawaiian,Male,-0.6663062760175427,0.75,13454.086422413793,271,0.8756874290577343,NJ,0
New Jersey,Non-STEM,White,Female,-0.018367060578512676,0.9269588313413014,19985.1963362069,166481,1.0303697918528203,NJ,0
New Jersey,Non-STEM,White,Male,0.03348032062776821,0.8967904342353682,23424.91422413793,171124,1.0140197195628209,NJ,0
New Jersey,Not working,Asian,Female,,0.6666666666666666,0.0,228,0.6370440415821744,NJ,1
New Jersey,Not working,Asian,Male,,1.0,0.0,323,0.8527931614581618,NJ,1
New Jersey,Not working,Black or African American,Female,,1.0,0.0,920,1.5011492362779015,NJ,1
New Jersey,Not working,Black or African American,Male,,0.6363636363636364,0.0,1463,2.0780310627759424,NJ,1
New Jersey,Not working,Multi-racial and Other,Female,,0.7142857142857143,0.0,2128,4.556347016809892,NJ,1
New Jersey,Not working,Multi-racial and Other,Male,,0.6666666666666666,0.0,1222,2.5488508176692384,NJ,1
New Jersey,Not working,White,Female,,0.875,0.0,641,0.23780103151336524,NJ,1
New Jersey,Not working,White,Male,,0.6923076923076923,0.0,1598,0.5675962471785903,NJ,1
New Jersey,STEM,Asian,Female,0.35735498388232656,0.9782608695652174,34832.586206896565,4301,2.256853356665681,NJ,0
New Jersey,STEM,Asian,Male,0.169286951645689,0.974025974025974,39186.659482758616,8416,4.172979016415989,NJ,0
New Jersey,STEM,Black or African American,Female,-0.3948877034793373,1.0,55732.13793103449,234,0.07170528842313091,NJ,0
New Jersey,STEM,Black or African American,Male,0.3626396601660368,0.8571428571428571,34832.586206896565,1904,0.5078950035215117,NJ,0
New Jersey,STEM,Multi-racial and Other,Female,0.040604839391472046,1.0,39186.659482758616,1453,0.5842652691659217,NJ,0
New Jersey,STEM,Multi-racial and Other,Male,0.7317234308972984,0.9166666666666666,41189.53318965518,1679,0.657692962536973,NJ,0
New Jersey,STEM,Native American or Hawaiian,Male,1.4268076873807052,1.0,24382.810344827594,34,1.2367596040612368,NJ,0
New Jersey,STEM,White,Female,0.48885393389993886,0.978021978021978,47894.806034482775,8526,0.5940189779971423,NJ,0
New Jersey,STEM,White,Male,0.335678757776691,0.97,38098.141163793116,18836,1.25646590852303,NJ,0
New Jersey,STEM-related,Asian,Female,0.3675330136949458,0.9,26603.387715517245,3119,2.517112923408341,NJ,0
New Jersey,STEM-related,Asian,Male,0.11835616610344957,1.0,55732.13793103449,2204,1.6807591746854649,NJ,0
New Jersey,STEM-related,Black or African American,Female,0.13691906381878485,1.0,31349.3275862069,3391,1.598146344404801,NJ,0
New Jersey,STEM-related,Black or African American,Male,-0.5897075070977038,0.75,13062.21982758621,677,0.277746817513826,NJ,0
New Jersey,STEM-related,Multi-racial and Other,Female,-0.16635428042795639,0.8666666666666667,29346.453879310342,2430,1.502810278208258,NJ,0
New Jersey,STEM-related,Multi-racial and Other,Male,0.025365731014646464,1.0,25732.573060344832,563,0.33918318961226357,NJ,0
New Jersey,STEM-related,Native American or Hawaiian,Female,-0.017821832072428986,1.0,43453.65129310345,8,0.3349710019087815,NJ,0
New Jersey,STEM-related,Native American or Hawaiian,Male,1.0666000954884312,1.0,81856.57758620691,55,3.0769645331586157,NJ,0
New Jersey,STEM-related,White,Female,0.026255200580233843,0.917910447761194,41363.69612068965,12307,1.3187443709640279,NJ,0
New Jersey,STEM-related,White,Male,0.19817513681438947,0.9411764705882353,29607.69827586207,4754,0.4877245665183234,NJ,0
New Mexico,Non-STEM,Asian,Female,-0.27302772066170017,1.0,11088.309549945117,1952,0.9187252718910918,NM,0
New Mexico,Non-STEM,Asian,Male,-0.3578657787950242,0.8571428571428571,26611.94291986828,943,1.0404344715314533,NM,0
New Mexico,Non-STEM,Black or African American,Female,-0.4340919393245636,0.5,14969.217892425908,2394,1.0703055851765497,NM,0
New Mexico,Non-STEM,Black or African American,Male,0.0037322246951407845,0.5714285714285714,14636.568605927554,1041,1.115460499171049,NM,0
New Mexico,Non-STEM,Multi-racial and Other,Female,0.011760465499308894,0.8387096774193549,17186.879802414933,8343,0.9971377846977458,NM,0
New Mexico,Non-STEM,Multi-racial and Other,Male,0.09296601019050414,0.7027027027027027,19958.957189901208,11125,1.0629120388246611,NM,0
New Mexico,Non-STEM,Native American or Hawaiian,Female,0.006374526858044522,0.7804878048780488,14802.89324917673,7143,1.0181107009428574,NM,0
New Mexico,Non-STEM,Native American or Hawaiian,Male,0.35521670633467145,0.5357142857142857,16299.815038419323,8746,1.0966521499269328,NM,0
New Mexico,Non-STEM,White,Female,-0.013830227628245106,0.903125,21067.788144895727,44950,0.9503041855452532,NM,0
New Mexico,Non-STEM,White,Male,-0.0006989057306713413,0.772189349112426,24394.281009879258,46664,1.0149922729426484,NM,0
New Mexico,Not working,Native American or Hawaiian,Female,,1.0,0.0,104,1.412418457417377,NM,1
New Mexico,Not working,Native American or Hawaiian,Male,,0.0,0.0,70,0.8363212932156061,NM,1
New Mexico,Not working,White,Female,,1.0,0.0,733,1.476565148759373,NM,1
New Mexico,Not working,White,Male,,1.0,0.0,492,1.0196745227261188,NM,1
New Mexico,STEM,Asian,Female,-0.9827100742734918,0.4,4546.206915477498,301,3.728432653979281,NM,0
New Mexico,STEM,Black or African American,Female,-0.19462495787868983,1.0,36702.30461031834,101,1.1883899684858363,NM,0
New Mexico,STEM,Multi-racial and Other,Female,0.16599884769111797,1.0,106447.77167947312,176,0.5536044281936877,NM,0
New Mexico,STEM,Multi-racial and Other,Male,0.9806803593334473,0.6666666666666666,18850.126234906696,167,0.4199211365735798,NM,0
New Mexico,STEM,Native American or Hawaiian,Female,2.022059625153765,1.0,2661.194291986828,30,0.11253550508354337,NM,0
New Mexico,STEM,Native American or Hawaiian,Male,-0.4997865775773083,0.0,18850.126234906696,80,0.26399965910785683,NM,0
New Mexico,STEM,White,Female,0.3602374657556091,1.0,48788.56201975852,1322,0.7355604314975408,NM,0
New Mexico,STEM,White,Male,0.6009667480466578,0.8666666666666667,41026.745334796935,2888,1.6532248293584257,NM,0
New Mexico,STEM-related,Asian,Female,-0.30743642957411466,1.0,76509.33589462131,117,0.8222797288272102,NM,0
New Mexico,STEM-related,Asian,Male,1.3692755748719856,1.0,3326.492864983535,68,1.120314160455445,NM,0
New Mexico,STEM-related,Multi-racial and Other,Female,-0.4265845576876821,1.0,43244.407244785965,814,1.4527310107768296,NM,0
New Mexico,STEM-related,Multi-racial and Other,Male,-0.5552487634484976,1.0,27720.773874862793,383,0.5464166859962643,NM,0
New Mexico,STEM-related,Native American or Hawaiian,Female,1.0966072730853975,0.6,24394.281009879258,549,1.168461935526055,NM,0
New Mexico,STEM-related,White,Female,-0.0378834973755117,0.8823529411764706,33264.928649835354,5757,1.8174273030114025,NM,0
New Mexico,STEM-related,White,Male,0.5685843747945266,1.0,44353.23819978047,1239,0.40242036590991154,NM,0
New York,Non-STEM,Asian,Female,0.05153218272726985,0.9334500875656743,17371.367153912295,54093,0.9223700925540884,NY,0
New York,Non-STEM,Asian,Male,0.030973240910795098,0.8817427385892116,16850.226139294926,46111,0.8643571291079342,NY,0
New York,Non-STEM,Black or African American,Female,0.10303001793698091,0.9309859154929577,15894.800945829751,109357,1.0123216000277167,NY,0
New York,Non-STEM,Black or African American,Male,0.06493815837814149,0.8633720930232558,14201.092648323302,109799,1.0366816926746871,NY,0
New York,Non-STEM,Multi-racial and Other,Female,0.0333395374769771,0.8868852459016393,16068.514617368874,87817,1.0694011948100055,NY,0
New York,Non-STEM,Multi-racial and Other,Male,-0.026480250607620676,0.7962382445141066,18326.79234737748,96353,1.0450084575282421,NY,0
New York,Non-STEM,Native American or Hawaiian,Female,0.1284086742393063,0.8666666666666667,11899.386500429922,3319,0.9434231813199304,NY,0
New York,Non-STEM,Native American or Hawaiian,Male,0.15087728009003418,0.725,9727.965606190886,4542,1.1429661380197171,NY,0
New York,Non-STEM,White,Female,-0.032067770408429175,0.9408039647577092,19977.072226999142,379972,0.9861244610555441,NY,0
New York,Non-STEM,White,Male,0.027198178775638966,0.9108367626886146,21714.208942390367,391787,1.0043607771951215,NY,0
New York,Not working,Asian,Female,,1.0,0.0,690,1.0739845129383128,NY,1
New York,Not working,Asian,Male,,0.8461538461538461,0.0,1328,2.2723307003791775,NY,1
New York,Not working,Black or African American,Female,,0.6363636363636364,0.0,2021,1.7077449620979048,NY,1
New York,Not working,Black or African American,Male,,0.8666666666666667,0.0,3107,2.677768824804361,NY,1
New York,Not working,Multi-racial and Other,Female,,1.0,0.0,429,0.47687454832427156,NY,1
New York,Not working,Multi-racial and Other,Male,,0.8181818181818182,0.0,1790,1.7721169460086876,NY,1
New York,Not working,White,Female,,0.9523809523809523,0.0,2397,0.5678491164960812,NY,1
New York,Not working,White,Male,,0.8636363636363636,0.0,2295,0.5370406947006572,NY,1
New York,STEM,Asian,Female,0.15593266429425331,1.0,26057.050730868446,5046,1.2042563681249292,NY,0
New York,STEM,Asian,Male,0.1806369412972257,0.9416666666666667,43428.417884780734,11261,2.9544265455884293,NY,0
New York,STEM,Black or African American,Female,0.09030071681445606,0.9583333333333334,34742.73430782459,3045,0.3945179552815412,NY,0
New York,STEM,Black or African American,Male,0.03544391835923938,1.0,43428.417884780734,4852,0.6411732532752416,NY,0
New York,STEM,Multi-racial and Other,Female,0.005066225226258948,1.0,34742.73430782459,1636,0.27883862237885426,NY,0
New York,STEM,Multi-racial and Other,Male,0.20731667942600826,0.9787234042553191,52114.101461736886,5940,0.9016719716044832,NY,0
New York,STEM,Native American or Hawaiian,Female,-1.0428243181681827,1.0,78171.15219260532,596,2.3711176941265815,NY,0
New York,STEM,White,Female,0.270750690867497,0.9885057471264368,37782.723559759244,18220,0.6618141833863365,NY,0
New York,STEM,White,Male,0.04776162853864561,0.9691516709511568,43428.417884780734,41083,1.4740405569601747,NY,0
New York,STEM-related,Asian,Female,0.0728427429683424,0.9176470588235294,39085.57609630266,7201,2.027458093030871,NY,0
New York,STEM-related,Asian,Male,0.16266568207971785,0.9166666666666666,35611.30266552021,2274,0.703840200961545,NY,0
New York,STEM-related,Black or African American,Female,0.22631586890062574,0.9824561403508771,33179.31126397249,9047,1.3828384188849507,NY,0
New York,STEM-related,Black or African American,Male,0.025973738190993814,0.95,10596.5339638865,3298,0.5141532985958164,NY,0
New York,STEM-related,Multi-racial and Other,Female,-0.04276568440319785,0.96875,39085.57609630266,3976,0.7994722149074929,NY,0
New York,STEM-related,Multi-racial and Other,Male,0.23831723339033956,0.8181818181818182,30399.89251934652,1302,0.23316345340897038,NY,0
New York,STEM-related,Native American or Hawaiian,Female,-0.4216735588763759,1.0,57325.51160791058,106,0.4975080208657735,NY,0
New York,STEM-related,White,Female,0.07629987602514374,0.9661458333333334,34742.73430782459,39817,1.7062536867022329,NY,0
New York,STEM-related,White,Male,-0.12560810196389974,0.9904761904761905,27794.18744625968,10690,0.45249351411152644,NY,0
North Carolina,Non-STEM,Asian,Female,-0.08199437047251876,0.8928571428571429,15862.691384950926,8872,0.8295704665364144,NC,0
North Carolina,Non-STEM,Asian,Male,0.31564972126769053,0.8904109589041096,22031.515812431844,9146,0.8630794738258508,NC,0
North Carolina,Non-STEM,Black or African American,Female,0.07257616700273264,0.8040816326530612,14155.24890948746,78634,1.0384756866994753,NC,0
North Carolina,Non-STEM,Black or African American,Male,0.028008085951980753,0.695906432748538,17955.68538713195,78815,1.062087546377948,NC,0
North Carolina,Non-STEM,Multi-racial and Other,Female,-0.07264605540772641,0.7428571428571429,17625.212649945475,22179,1.02148139717674,NC,0
North Carolina,Non-STEM,Multi-racial and Other,Male,0.01945680797431607,0.6752136752136753,26107.346237731737,31349,1.0929478524903755,NC,0
North Carolina,Non-STEM,Native American or Hawaiian,Female,-0.2491454667186172,0.7857142857142857,15422.06106870229,4957,0.978233585164057,NC,0
North Carolina,Non-STEM,Native American or Hawaiian,Male,-0.08460901525088554,0.7954545454545454,24234.66739367503,3975,1.1041288394729944,NC,0
North Carolina,Non-STEM,White,Female,-0.05696027942135493,0.8417305585980285,19828.364231188654,205786,0.9734648790381243,NC,0
North Carolina,Non-STEM,White,Male,0.028292367438905293,0.7977755308392316,27539.394765539804,223253,0.9909681857308615,NC,0
North Carolina,Not working,Black or African American,Female,,0.4,0.0,735,1.1450414157397575,NC,1
North Carolina,Not working,Black or African American,Male,,0.75,0.0,699,1.1111597556801873,NC,1
North Carolina,Not working,Multi-racial and Other,Female,,0.5,0.0,201,1.0920246698388951,NC,1
North Carolina,Not working,Native American or Hawaiian,Female,,1.0,0.0,157,3.6548637701964974,NC,1
North Carolina,Not working,White,Female,,0.5555555555555556,0.0,1604,0.8950694146723309,NC,1
North Carolina,Not working,White,Male,,0.7647058823529411,0.0,2258,1.1823178254245204,NC,1
North Carolina,STEM,Asian,Female,0.009579825774742992,1.0,19828.364231188654,2599,3.615780422851217,NC,0
North Carolina,STEM,Asian,Male,-0.25381523372674797,0.96,71602.42639040349,2756,3.869571044200396,NC,0
North Carolina,STEM,Black or African American,Female,0.37737586594451983,0.9333333333333333,39656.728462377316,2658,0.5222818836706042,NC,0
North Carolina,STEM,Black or African American,Male,-0.44256258936804777,0.9411764705882353,29081.600872410036,1932,0.3873669632302728,NC,0
North Carolina,STEM,Multi-racial and Other,Female,-0.5585380472299988,1.0,55078.78953107961,861,0.5900049735810993,NC,0
North Carolina,STEM,Multi-racial and Other,Male,0.600471303846523,0.7777777777777778,59485.09269356597,1057,0.5482955950210909,NC,0
