ST,OCCPSTEM,SEX,RAC1P,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
South Dakota,Non-STEM,Male,American Indian alone,-0.38148722347555303,0.35294117647058826,23010.136674259684,1181,1.0405343364669737,SD,0
South Dakota,Non-STEM,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",,0.0,6787.990318906606,271,0.8652946096372232,SD,1
South Dakota,Non-STEM,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0.0027862422836325007,0.0,6903.041002277905,296,1.197363389719405,SD,0
South Dakota,Non-STEM,Female,Asian alone,-0.2777054553439286,0.0,5752.534168564921,451,1.0056068692056825,SD,0
South Dakota,Non-STEM,Male,Asian alone,-0.4455031456253702,1.0,28992.772209567203,945,1.197363389719405,SD,0
South Dakota,Non-STEM,Female,Black or African American alone,-0.6389050918543695,0.25,23642.915432801827,1518,0.9724973919711378,SD,0
South Dakota,Non-STEM,Male,Black or African American alone,-0.7489822481182054,0.6,20939.224373576308,938,0.8934978994087525,SD,0
South Dakota,Non-STEM,Female,Some Other Race alone,-0.4294598686164974,0.5,22319.83257403189,176,1.197363389719405,SD,0
South Dakota,Non-STEM,Male,Some Other Race alone,0.5065452692327325,0.6666666666666666,57525.3416856492,252,1.197363389719405,SD,0
South Dakota,Non-STEM,Female,Two or More Races,0.29005722928931704,0.625,26116.50512528474,1650,1.1187143788431586,SD,0
South Dakota,Non-STEM,Male,Two or More Races,-0.34668204600221,1.0,32214.191343963554,809,1.197363389719405,SD,0
South Dakota,Non-STEM,Female,White alone,0.0029412584455955513,0.9016393442622951,25311.15034168565,20744,0.9098207383274483,SD,0
South Dakota,Non-STEM,Male,White alone,0.25509182115559137,0.8944723618090452,33364.69817767654,22911,1.058813254925365,SD,0
South Dakota,Not working,Female,American Indian alone,,0.5,0.0,131,5.289778198074279,SD,1
South Dakota,Not working,Male,American Indian alone,,0.0,0.0,178,15.380169242089769,SD,1
South Dakota,Not working,Female,White alone,,0.0,0.0,251,1.079621794871795,SD,1
South Dakota,STEM,Female,Asian alone,-0.24400005766752383,1.0,33364.69817767654,86,2.298357998710849,SD,0
South Dakota,STEM,Male,Black or African American alone,,0.0,13806.08200455581,319,3.6420752645942223,SD,1
South Dakota,STEM,Female,White alone,0.06750677383107916,1.0,28475.044134396354,2104,1.1060546844396693,SD,0
South Dakota,STEM,Male,White alone,0.5349017415120808,1.0,53498.56776765376,2073,1.1482650917401045,SD,0
South Dakota,STEM-related,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.24400005766752383,1.0,29913.177676537587,104,3.2011383769235273,SD,0
South Dakota,STEM-related,Female,Black or African American alone,0.16066066862966247,0.0,17257.602505694762,351,2.1677050606173562,SD,0
South Dakota,STEM-related,Female,Two or More Races,0.874385928009713,0.0,51772.807517084286,116,0.7581753604199704,SD,0
South Dakota,STEM-related,Female,White alone,-0.0010990295004025669,0.9666666666666667,36240.965261959005,4201,1.776202229693541,SD,0
South Dakota,STEM-related,Male,White alone,-0.18543846744915798,1.0,31063.684510250572,925,0.41209131163782875,SD,0
Tennessee,Non-STEM,Female,American Indian alone,-0.2357963997481576,1.0,22522.742474916387,686,1.1327006368001076,TN,0
Tennessee,Non-STEM,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0.08421683339671207,0.0,15202.85117056856,166,0.821084304405318,TN,0
Tennessee,Non-STEM,Female,Asian alone,-0.0835237646449204,0.9,13119.497491638796,3758,0.8688893637670553,TN,0
Tennessee,Non-STEM,Male,Asian alone,-0.21003604500906917,0.5714285714285714,29279.565217391304,3093,0.6800161237621763,TN,0
Tennessee,Non-STEM,Female,Black or African American alone,0.06420071885729056,0.836,16497.908862876255,50437,1.0216384481095675,TN,0
Tennessee,Non-STEM,Male,Black or African American alone,0.06054008118020085,0.6296296296296297,16892.056856187293,42751,1.0310016377925693,TN,0
Tennessee,Non-STEM,Female,Native Hawaiian and Other Pacific Islander alone,0.6016594183383885,1.0,6756.822742474918,395,1.1327006368001076,TN,0
Tennessee,Non-STEM,Female,Some Other Race alone,-0.22800757449694287,0.6,21396.60535117057,3355,0.9719208788911409,TN,0
Tennessee,Non-STEM,Male,Some Other Race alone,0.07995570222221678,0.46153846153846156,27027.290969899666,3736,0.9270031936659807,TN,0
Tennessee,Non-STEM,Female,Two or More Races,-0.2980795234397393,0.8775510204081632,20608.30936454849,6174,1.056388781209043,TN,0
Tennessee,Non-STEM,Male,Two or More Races,0.028390261542673063,0.7777777777777778,16892.056856187293,5338,0.9438582577644355,TN,0
Tennessee,Non-STEM,Female,White alone,-0.08885121633695943,0.8719146097398266,18243.421404682274,156691,0.9668516769217332,TN,0
Tennessee,Non-STEM,Male,White alone,0.07700915194769506,0.8124207858048162,28153.428093645485,170185,1.0329198010653786,TN,0
Tennessee,Not working,Male,Asian alone,,0.0,0.0,205,4.509733007936122,TN,1
Tennessee,Not working,Female,Black or African American alone,,1.0,0.0,1107,2.2436405591414386,TN,1
Tennessee,Not working,Male,Black or African American alone,,0.5,0.0,894,2.157288734671129,TN,1
Tennessee,Not working,Male,Some Other Race alone,,0.5,0.0,417,10.35304489463504,TN,1
Tennessee,Not working,Female,White alone,,1.0,0.0,715,0.44144796983161727,TN,1
Tennessee,Not working,Male,White alone,,0.45454545454545453,0.0,1127,0.6844266623863958,TN,1
Tennessee,STEM,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.4671593422967961,1.0,5630.685618729097,63,5.8611236787924925,TN,0
Tennessee,STEM,Female,Asian alone,0.36180665819112673,1.0,79955.73578595319,523,2.2744168704268786,TN,0
Tennessee,STEM,Male,Asian alone,-0.02661754452099587,1.0,67005.15886287625,1625,6.7197533057609204,TN,0
Tennessee,STEM,Female,Black or African American alone,-0.2677035879029234,1.0,22072.28762541806,1401,0.533760942146183,TN,0
Tennessee,STEM,Male,Black or African American alone,-0.09850267612847893,1.0,19144.33110367893,2814,1.27643247322593,TN,0
Tennessee,STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.6565475961273768,1.0,20270.46822742475,107,21.304719403864773,TN,0
Tennessee,STEM,Female,Some Other Race alone,-0.019903279878174418,1.0,37162.52508361204,423,2.304832815303018,TN,0
Tennessee,STEM,Male,Some Other Race alone,0.13932175627270002,0.6666666666666666,54054.58193979933,373,1.740779920622467,TN,0
Tennessee,STEM,Female,Two or More Races,1.5020744004821882,1.0,53491.51337792643,134,0.4312435649724894,TN,0
Tennessee,STEM,Male,Two or More Races,0.3848741144244183,1.0,52928.44481605352,598,1.9887952237763245,TN,0
Tennessee,STEM,Female,White alone,0.27627634327674894,0.9215686274509803,45045.484949832775,4700,0.5454743513238315,TN,0
Tennessee,STEM,Male,White alone,0.28826355451300995,0.9391304347826087,45045.484949832775,10992,1.2548237143323864,TN,0
Tennessee,STEM-related,Female,Asian alone,0.15349338307289975,1.0,22860.583612040136,618,2.054764370843373,TN,0
Tennessee,STEM-related,Male,Asian alone,0.10087320880786643,1.0,65879.02173913045,229,0.7240034220167824,TN,0
Tennessee,STEM-related,Female,Black or African American alone,0.06630552198476085,1.0,42567.98327759198,2975,0.8665643097387742,TN,0
Tennessee,STEM-related,Male,Black or African American alone,-0.8376031515708301,1.0,33784.11371237459,509,0.1765211328299436,TN,0
